Text_name;sentence;TAM;Origin;Word_length;Transitivity
CMAELR3-M23;35.258;%presVAG;%germanic;1%;%ambiguous
CMAELR3-M23;39.39;%presVAG;%germanic;1%;%intransitive
CMAELR3-M23;51.796;%presVAG;%germanic;2%;%prep_intransitive
CMANCRIW-1-M1;I.78.323;%presVAG;%germanic;1%;%intransitive
CMANCRIW-1-M1;II.132.1751;%presVAG;%germanic;1%;%intransitive
CMANCRIW-1-M1;II.144.1937;%presVAG;%germanic;2%;%ambiguous
CMANCRIW-1-M1;II.187.2648;%presVAG;%germanic;1%;%prep_intransitive
CMANCRIW-2-M1;II.262.284;%presVAG;%germanic;1%;%prep_intransitive
CMANCRIW-2-M1;II.277.518;%presVAG;%germanic;1%;%intransitive
CMASTRO-M3;671.C1.266;%presVAG;%germanic;1%;%prep_intransitive
CMASTRO-M3;672.C2.344;%presVAG;%germanic;2%;%prep_intransitive
CMAYENBI-M2;30.489;%presVAG;%germanic;1%;%prep_intransitive
CMAYENBI-M2;104.2029;%presVAG;%romance;1%;%prep_intransitive
CMAYENBI-M2;113.2172;%presVAG;%romance;2%;%intransitive
CMAYENBI-M2;254.2336;%presVAG;%germanic;1%;%prep_intransitive
CMAYENBI-M2;262.2489;%presVAG;%germanic;1%;%intransitive
CMAYENBI-M2;264.2519;%presVAG;%germanic;1%;%intransitive
CMAYENBI-M2;265.256;%presVAG;%germanic;1%;%intransitive
CMBENRUL-M3;4.107;%presVAG;%germanic;1%;%ambiguous
CMBENRUL-M3;29.958;%presVAG;%romance;1%;%ambiguous
CMBOETH-M3;435.C2.295;%presVAG;%romance;2%;%ambiguous
CMBOETH-M3;436.C1.305;%presVAG;%germanic;%1half;%ambiguous
CMBRUT3-M3;64.1918;%presVAG;%germanic;1%;%ambiguous
CMBRUT3-M3;218.3902;%presVAG;%germanic;1%;%prep_intransitive
CMCLOUD-M3;75.307;%presVAG;%romance;2%;%ambiguous
CMCLOUD-M3;129.763;%presVAG;%romance;2%;%ambiguous
CMCLOUD-M3;130.775;%presVAG;%germanic;1%;%intransitive
CMCLOUD-M3;131.792;%presVAG;%romance;1%;%prep_intransitive
CMEARLPS-M2;5.188;%presVAG;%germanic;1%;%prep_intransitive
CMEARLPS-M2;7.276;%presVAG;%germanic;1%;%prep_intransitive
CMEARLPS-M2;21.825;%presVAG;%germanic;%1half;%intransitive
CMEARLPS-M2;22.855;%presVAG;%germanic;1%;%prep_intransitive
CMEARLPS-M2;39.1672;%presVAG;%romance;2%;%transitive
CMEARLPS-M2;68.3006;%presVAG;%romance;1%;%transitive
CMEARLPS-M2;90.3918;%presVAG;%germanic;1%;%prep_intransitive
CMEARLPS-M2;91.3983;%presVAG;%germanic;1%;%prep_intransitive
CMEARLPS-M2;97.4246;%presVAG;%germanic;2%;%ambiguous
CMEARLPS-M2;107.4672;%presVAG;%germanic;1%;%prep_intransitive
CMEARLPS-M2;123.5406;%presVAG;%germanic;1%;%transitive
CMEARLPS-M2;126.5485;%presVAG;%germanic;1%;%transitive
CMEARLPS-M2;142.624;%presVAG;%germanic;1%;%transitive
CMEARLPS-M2;148.6534;%presVAG;%germanic;2%;%prep_intransitive
CMEARLPS-M2;163.7263;%presVAG;%germanic;1%;%transitive
CMEARLPS-M2;167.7362;%presVAG;%germanic;2%;%prep_intransitive
CMEARLPS-M2;176.775;%presVAG;%romance;3%;%transitive
CMEARLPS-M2;176.7757;%presVAG;%germanic;1%;%transitive
CMEDTHOR-M34;21.133;%presVAG;%germanic;1%;%prep_intransitive
CMEDTHOR-M34;28.307;%presVAG;%romance;2%;%prep_intransitive
CMEDTHOR-M34;30.359;%presVAG;%germanic;1%;%ambiguous
CMGAYTRY-M34;10.128;%presVAG;%germanic;1%;%ambiguous
CMGREGOR-M4;200.1629;%presVAG;%romance;2%;%ambiguous
CMHILTON-M34;13.82;%presVAG;%romance;2%;%ambiguous
CMHORSES-M3;111.255;%presVAG;%germanic;1%;%prep_intransitive
CMHORSES-M3;123.362;%presVAG;%germanic;1%;%prep_intransitive
CMJULNOR-M34;51.63;%presVAG;%romance;1%;%prep_intransitive
CMJULNOR-M34;53.101;%presVAG;%germanic;1%;%ambiguous
CMJULNOR-M34;53.102;%presVAG;%romance;1%;%intransitive
CMKEMPE-M4;42.923;%presVAG;%romance;1%;%intransitive
CMLAMBX1-MX1;43.571;%presVAG;%germanic;1%;%prep_intransitive
CMLAMBX1-MX1;97.859;%presVAG;%germanic;1%;%prep_intransitive
CMLAMBX1-MX1;103.952;%presVAG;%germanic;2%;%ambiguous
CMLAMBX1-MX1;119.1162;%presVAG;%germanic;1%;%prep_intransitive
CMMALORY-M4;25.781;%presVAG;%germanic;%1half;%intransitive
CMMALORY-M4;56.186;%presVAG;%germanic;2%;%prep_intransitive
CMMALORY-M4;56.1867;%presVAG;%germanic;2%;%prep_intransitive
CMMALORY-M4;59.195;%presVAG;%germanic;2%;%prep_intransitive
CMMALORY-M4;63.2096;%presVAG;%germanic;%1half;%intransitive
CMMALORY-M4;627.3537;%presVAG;%germanic;%1half;%intransitive
CMMALORY-M4;655.4446;%presVAG;%germanic;%1half;%intransitive
CMMALORY-M4;659.4576;%presVAG;%germanic;1%;%intransitive
CMMANDEV-M3;32.795;%presVAG;%germanic;1%;%intransitive
CMMANDEV-M3;36.89;%presVAG;%germanic;1%;%intransitive
CMMANDEV-M3;38.965;%presVAG;%germanic;1%;%prep_intransitive
CMMANDEV-M3;96.2319;%presVAG;%romance;1%;%prep_intransitive
CMMANDEV-M3;102.2477;%presVAG;%germanic;1%;%prep_intransitive
CMMANDEV-M3;115.2821;%presVAG;%germanic;1%;%prep_intransitive
CMMANDEV-M3;122.2972;%presVAG;%romance;3%;%transitive
CMMANDEV-M3;124.3016;%presVAG;%romance;2%;%prep_intransitive
CMMIRK-M34;11.299;%presVAG;%romance;1%;%ambiguous
CMMIRK-M34;44.1284;%presVAG;%germanic;1%;%intransitive
CMMIRK-M34;63.1722;%presVAG;%germanic;1%;%intransitive
CMMIRK-M34;113.3086;%presVAG;%germanic;1%;%intransitive
CMNTEST-M3;8,20J.769;%presVAG;%romance;1%;%ambiguous
CMPOLYCH-M3;VI,439.3225;%presVAG;%germanic;1%;%prep_intransitive
CMREYNAR-M4;7.32;%presVAG;%germanic;%1half;%intransitive
CMREYNES-M4;158.106;%presVAG;%germanic;1%;%intransitive
CMREYNES-M4;260.439;%presVAG;%romance;%1half;%intransitive
CMROLLEP-M24;61.9;%presVAG;%germanic;1%;%intransitive
CMROLLEP-M24;61.1;%presVAG;%germanic;1%;%prep_intransitive
CMROLLEP-M24;61.17;%presVAG;%germanic;1%;%transitive
CMROLLEP-M24;62.31;%presVAG;%germanic;1%;%prep_intransitive
CMROLLEP-M24;63.37;%presVAG;%germanic;1%;%prep_intransitive
CMROLLEP-M24;67.117;%presVAG;%germanic;1%;%transitive
CMROLLEP-M24;70.141;%presVAG;%germanic;1%;%prep_intransitive
CMROLLEP-M24;70.145;%presVAG;%germanic;1%;%transitive
CMROLLEP-M24;73.155;%presVAG;%germanic;1%;%ambiguous
CMROLLEP-M24;74.164;%presVAG;%germanic;1%;%prep_intransitive
CMROLLEP-M24;75.179;%presVAG;%romance;1%;%intransitive
CMROLLEP-M24;75.19;%presVAG;%romance;1%;%prep_intransitive
CMROLLEP-M24;93.493;%presVAG;%germanic;1%;%ambiguous
CMROLLEP-M24;96.542;%presVAG;%germanic;1%;%prep_intransitive
CMROLLEP-M24;96.548;%presVAG;%germanic;1%;%intransitive
CMROLLEP-M24;102.617;%presVAG;%germanic;%1half;%prep_intransitive
CMROLLEP-M24;102.617;%presVAG;%germanic;%1half;%prep_intransitive
CMROLLEP-M24;103.642;%presVAG;%germanic;1%;%prep_intransitive
CMROLLEP-M24;105.678;%presVAG;%germanic;1%;%transitive
CMROLLEP-M24;106.694;%presVAG;%germanic;1%;%prep_intransitive
CMROLLEP-M24;111.81;%presVAG;%germanic;1%;%transitive
CMROLLEP-M24;116.907;%presVAG;%germanic;1%;%intransitive
CMROLLEP-M24;116.909;%presVAG;%germanic;1%;%prep_intransitive
CMROLLEP-M24;118.956;%presVAG;%romance;1%;%prep_intransitive
CMROLLEP-M24;119.964;%presVAG;%romance;1%;%intransitive
CMROLLEP-M24;119.972;%presVAG;%germanic;%1half;%intransitive
CMROLLTR-M24;8.237;%presVAG;%germanic;1%;%prep_intransitive
CMROLLTR-M24;37.768;%presVAG;%romance;1%;%prep_intransitive
CMROYAL-M34;251.184;%presVAG;%germanic;1%;%intransitive
CMROYAL-M34;254.244;%presVAG;%romance;2%;%transitive
CMTRINIT-MX1;121.1637;%presVAG;%germanic;3%;%intransitive
CMTRINIT-MX1;175.2384;%presVAG;%germanic;1%;%intransitive
CMTRINIT-MX1;175.2385;%presVAG;%germanic;1%;%prep_intransitive
CMTRINIT-MX1;175.2389;%presVAG;%germanic;1%;%prep_intransitive
CMVICES1-M1;21.23;%presVAG;%germanic;1%;%prep_intransitive
CMVICES1-M1;21.232;%presVAG;%germanic;1%;%prep_intransitive
CMVICES1-M1;35.42;%presVAG;%germanic;1%;%prep_intransitive
CMVICES1-M1;39.444;%presVAG;%germanic;1%;%transitive
CMVICES1-M1;47.52;%presVAG;%germanic;1%;%intransitive
CMVICES1-M1;47.52;%presVAG;%germanic;1%;%prep_intransitive
CMVICES1-M1;51.551;%presVAG;%germanic;1%;%prep_intransitive
CMVICES1-M1;57.614;%presVAG;%germanic;1%;%prep_intransitive
CMVICES1-M1;57.615;%presVAG;%germanic;1%;%prep_intransitive
CMVICES1-M1;57.616;%presVAG;%germanic;1%;%prep_intransitive
CMVICES1-M1;59.637;%presVAG;%germanic;1%;%transitive
CMVICES1-M1;75.845;%presVAG;%germanic;1%;%transitive
CMVICES1-M1;75.848;%presVAG;%germanic;1%;%prep_intransitive
CMVICES1-M1;95.1112;%presVAG;%germanic;1%;%prep_intransitive
CMVICES1-M1;95.1117;%presVAG;%germanic;1%;%prep_intransitive
CMVICES1-M1;101.1202;%presVAG;%germanic;1%;%transitive
CMVICES1-M1;103.1236;%presVAG;%germanic;1%;%intransitive
CMVICES1-M1;127.1558;%presVAG;%germanic;1%;%prep_intransitive
CMVICES1-M1;133.1627;%presVAG;%germanic;1%;%intransitive
CMVICES1-M1;133.164;%presVAG;%germanic;1%;%intransitive
CMVICES1-M1;137.1678;%presVAG;%germanic;1%;%intransitive
CMVICES1-M1;137.1689;%presVAG;%germanic;1%;%prep_intransitive
CMVICES1-M1;137.1689;%presVAG;%germanic;1%;%intransitive
CMVICES1-M1;139.1696;%presVAG;%germanic;1%;%intransitive
CMWYCSER-M3;308.145;%presVAG;%romance;2%;%ambiguous
CMWYCSER-M3;346.2121;%presVAG;%romance;2%;%ambiguous
CMWYCSER-M3;588.3771;%presVAG;%germanic;1%;%intransitive
